,A0,A1,A2,A3,A4,A5,A6,A7,B,C,sample_size,seed,time_delta
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.883,0.117,1800,3,0.0006568431854248047
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.829,0.171,1900,3,0.0006079673767089844
79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.902,0.098,2000,3,0.0005822181701660156
80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.866,0.134,2100,3,0.0006420612335205078
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.826,0.174,2200,3,0.0006327629089355469
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.798,0.202,2300,3,0.0008111000061035156
83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.835,0.165,2400,3,0.000701904296875
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.885,0.115,2500,3,0.0006909370422363281
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.895,0.105,2600,3,0.0007460117340087891
86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.897,0.103,2700,3,0.0008842945098876953
87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856,0.144,2800,3,0.0009729862213134766
88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.846,0.154,2900,3,0.0008041858673095703
89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.878,0.122,3000,3,0.0010280609130859375
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.989,0.011,100,4,5.698204040527344e-05
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,200,4,8.225440979003906e-05
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.993,0.007,300,4,0.00011205673217773438
93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,0.002,400,4,0.0001811981201171875
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.994,0.006,500,4,0.0003120899200439453
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.976,0.024,600,4,0.00031685829162597656
